Gen=0,Mean=-227.15180000000004,StdDev=55.4549680620231,Best=-83.34
Gen=1,Mean=-209.67360000000005,StdDev=52.22411020821704,Best=-95.79
Gen=2,Mean=-208.52800000000002,StdDev=52.97711245434203,Best=-78.87
Gen=3,Mean=-187.9558,StdDev=66.27459936023754,Best=-83.93
Gen=4,Mean=-175.0084,StdDev=65.08216172992412,Best=-72.48
Gen=5,Mean=-198.34170000000003,StdDev=62.267007380393665,Best=-73.98
Gen=6,Mean=-157.05540000000002,StdDev=64.97646651550085,Best=-55.27
Gen=7,Mean=-174.12239999999994,StdDev=68.80196610737225,Best=-69.92
Gen=8,Mean=-150.91470000000004,StdDev=56.50709092591831,Best=-63.76
Gen=9,Mean=-149.959,StdDev=51.09948098562254,Best=-69.94
Gen=10,Mean=-163.61239999999998,StdDev=56.16717046674152,Best=-77.96
Gen=11,Mean=-141.43179999999995,StdDev=53.59426240522394,Best=-63.25
Gen=12,Mean=-100.67020000000001,StdDev=37.95043111691882,Best=-50.85
Gen=13,Mean=-155.72179999999994,StdDev=63.186159930478446,Best=-69.88
Gen=14,Mean=-168.88980000000006,StdDev=64.72045637941686,Best=-66.36
Gen=15,Mean=-181.16960000000003,StdDev=71.20856417482379,Best=-76.71
Gen=16,Mean=-145.17400000000004,StdDev=52.506162133601045,Best=-72.32
Gen=17,Mean=-150.38279999999995,StdDev=56.4680929212241,Best=-71.4
Gen=18,Mean=-149.44729999999998,StdDev=60.13090810648048,Best=-59.11
Gen=19,Mean=-138.6339,StdDev=57.64377589809676,Best=-65.56
Gen=20,Mean=-146.0961,StdDev=75.39502427740175,Best=-63.59
Gen=21,Mean=-146.54600000000005,StdDev=74.08949534178242,Best=-56.33
Gen=22,Mean=-113.1683,StdDev=44.58981771783778,Best=-56.29
Gen=23,Mean=-134.3952,StdDev=51.228399027882965,Best=-63.91
Gen=24,Mean=-96.17409999999998,StdDev=47.06300611085102,Best=-43.35
Gen=25,Mean=-141.5388,StdDev=71.81725671842389,Best=-61.84
Gen=26,Mean=-112.53550000000001,StdDev=47.59777079601522,Best=-63.4
Gen=27,Mean=-115.8029,StdDev=47.17674546415851,Best=-63.47
Gen=28,Mean=-121.01620000000003,StdDev=56.003213082465194,Best=-66.32
Gen=29,Mean=-136.8286,StdDev=59.22547156452197,Best=-69.8
Gen=30,Mean=-123.76869999999997,StdDev=58.87107002008712,Best=-60.84
Gen=31,Mean=-108.33750000000003,StdDev=43.65618710732765,Best=-65.33
Gen=32,Mean=-94.03479999999996,StdDev=42.241032598174,Best=-49.6
Gen=33,Mean=-115.08899999999996,StdDev=57.35145285866784,Best=-61.6
Gen=34,Mean=-111.30650000000003,StdDev=44.99323774468782,Best=-56.57
Gen=35,Mean=-105.72780000000003,StdDev=50.2100568727023,Best=-57.93
Gen=36,Mean=-103.03660000000004,StdDev=49.621005939420456,Best=-55.29
Gen=37,Mean=-100.22279999999999,StdDev=38.629535748698814,Best=-53.24
Gen=38,Mean=-72.65260000000004,StdDev=29.534937197156857,Best=-41.53
Gen=39,Mean=-123.215,StdDev=56.24323634891577,Best=-58.78
Gen=40,Mean=-107.08539999999998,StdDev=45.10126289628707,Best=-59.0
Gen=41,Mean=-104.1656,StdDev=40.48519510438353,Best=-56.09
Gen=42,Mean=-108.81900000000007,StdDev=44.772741271894446,Best=-63.3
Gen=43,Mean=-113.39919999999998,StdDev=47.99204623018277,Best=-62.44
Gen=44,Mean=-113.5233,StdDev=40.97545619160328,Best=-64.79
Gen=45,Mean=-109.54079999999995,StdDev=43.960856012593744,Best=-64.85
Gen=46,Mean=-87.70249999999999,StdDev=32.078198464845244,Best=-53.61
Gen=47,Mean=-88.29120000000005,StdDev=41.200093865912486,Best=-47.23
Gen=48,Mean=-114.16329999999999,StdDev=53.795515130073795,Best=-60.86
Gen=49,Mean=-88.778,StdDev=30.815202319634384,Best=-45.97
Gen=50,Mean=-84.3695,StdDev=33.68406288959217,Best=-39.65
Gen=51,Mean=-131.37350000000004,StdDev=62.69097414101969,Best=-55.32
Gen=52,Mean=-127.09370000000007,StdDev=48.45966346674313,Best=-67.09
Gen=53,Mean=-116.0195,StdDev=48.89202676050564,Best=-59.92
Gen=54,Mean=-131.64060000000003,StdDev=58.95434694439419,Best=-57.41
